連番,氏名,氏名（カタカナ）,性別,電話番号,生年月日,年齢,出身地,血液型
342,白鳥徳康,シラトリトクヤス,男,0674426928,1987/07/17,33,愛媛県,O
343,福原琴子,フクハラコトコ,女,0950042151,1964/12/22,56,宮崎県,O
344,藤本風香,フジモトフウカ,女,0246801687,1970/03/24,50,山形県,A
345,三浦桃華,ミウラモモカ,女,054485881,2005/05/22,15,茨城県,A
346,古賀夢子,コガユメコ,女,0778078521,1988/11/10,32,山口県,O
347,浦野美冬,ウラノミフユ,女,0954154603,2009/05/24,11,秋田県,O
348,千葉豊作,チバトヨサク,男,0260919925,1982/08/31,38,岩手県,B
349,黒木佐太郎,クロキサタロウ,男,0773687747,1967/10/06,53,富山県,A
350,西村昌子,ニシムラマサコ,女,0856082224,2006/12/14,14,福岡県,O
351,船越由紀子,フナコシユキコ,女,0946533180,1975/02/25,46,岩手県,B
352,宇田川真奈美,ウダガワマナミ,女,0991318602,1966/01/15,55,千葉県,A
353,川西莉那,カワニシリナ,女,0869120673,1993/04/30,27,奈良県,O
354,伊藤砂登子,イトウサトコ,女,0868222393,1992/02/05,29,三重県,AB
355,高坂武信,コウサカタケノブ,男,0791591557,1986/07/01,34,福岡県,B
356,大場凛,オオバリン,女,0747116833,2004/01/14,17,宮崎県,B
357,塚越沙也香,ツカゴシサヤカ,女,0183872196,1985/03/31,35,長崎県,B
358,小野寺穂久斗,オノデラホクト,男,0258237756,1998/06/13,22,静岡県,A
359,高倉七海,タカクラナナミ,女,0994533484,1987/11/21,33,沖縄県,B
360,武井拓海,タケイタクミ,男,0296248121,1995/02/15,26,大阪府,A
361,今井利恵,イマイリエ,女,0282901852,1983/01/03,38,岩手県,O
362,大庭陽治,オオニワヨウジ,男,0286893774,1973/12/30,47,山形県,B
363,庄司羽美,ショウジウミ,女,0973354911,2008/04/02,12,静岡県,A
364,本田一智花,ホンダイチカ,女,0603309415,2006/11/01,14,群馬県,B
365,横川愛結,ヨコカワアユ,女,087897068,1980/03/21,40,大分県,A
366,大久保季優,オオクボキヒロ,男,0744209102,1985/03/04,36,佐賀県,A
367,末吉正司,スエヨシマサシ,男,0740154088,1965/06/09,55,滋賀県,B
368,田中華,タナカハナ,女,0455076155,1963/02/16,58,鹿児島県,O
369,星晃勝,ホシコウショウ,男,0779047473,1999/09/08,21,長崎県,A
370,斎藤直巳,サイトウナオキ,男,019705169,2007/11/19,13,愛知県,A
371,細川安雄,ホソカワヤスオ,男,0952076241,1988/10/08,32,熊本県,O
372,菅千耀,カンチアキ,男,0470177869,2004/03/05,17,滋賀県,B
373,保田清花,ヤスダサヤカ,女,017086461,1992/08/09,28,秋田県,A
374,渡邊国彦,ワタナベクニヒコ,男,0895115438,1961/10/29,59,福井県,O
375,波多野素子,ハタノモトコ,女,065863268,1983/02/19,38,京都府,O
376,畑中清吉,ハタナカセイキチ,男,0885930582,1999/03/26,21,神奈川県,O
377,須田勇次,スダユウジ,男,0254335340,1992/07/31,28,宮城県,O
378,菅谷博文,スガヤヒロフミ,男,0299217850,2001/09/07,19,千葉県,A
379,井川初音,イカワハツネ,女,0770958523,1967/12/02,53,山形県,B
380,菅谷冨士雄,スガヤフジオ,男,0857505521,2006/04/26,14,秋田県,A
381,中嶋優奈,ナカジマユウナ,女,079677784,1983/06/19,37,和歌山県,B
382,鳴海亀次郎,ナルミカメジロウ,男,0234998844,2000/07/31,20,茨城県,O
383,小関涼人,オゼキスズト,男,0957303035,2004/08/04,16,山口県,A
384,小宮隼刀,コミヤハヤト,男,0963229657,1994/08/23,26,岡山県,A
385,岩本沙菜,イワモトサナ,女,0574769264,1962/10/07,58,京都府,O
386,八田義明,ヤツタヨシアキ,男,0590681991,1985/10/01,35,千葉県,A
387,西沢幸子,ニシザワサチコ,女,0796684074,1980/10/07,40,大分県,B
388,馬場敏宏,ババトシヒロ,男,0459129118,1972/02/15,49,石川県,A
389,加瀬美香,カセミカ,女,0220229640,1994/05/01,26,沖縄県,O
390,深谷知代,フカヤトモヨ,女,0862324934,1992/08/03,28,大阪府,O
391,田淵勝利,タブチカツトシ,男,0955282926,1975/01/08,46,東京都,O
392,大川聡美,オオカワサトミ,女,0739432333,1996/02/20,25,山形県,O
393,本山空海介,モトヤマソウスケ,男,0284105146,1998/05/26,22,静岡県,A
394,窪田研一,クボタケンイチ,男,0769885717,1963/04/09,57,岩手県,A
395,柳田克彦,ヤナギダカツヒコ,男,0599892534,1979/11/02,41,秋田県,O
396,河井一雄,カワイカズオ,男,0739260011,1980/02/07,41,千葉県,A
397,芳賀柚月,ハガユヅキ,女,0184728219,1962/12/17,58,新潟県,A
398,熊倉里菜,クマクラリナ,女,0983574947,2007/10/22,13,群馬県,A
399,竹田広重,タケダヒロシゲ,男,0395762129,2000/11/03,20,石川県,O
400,稲村乃亜,イナムラノア,女,0824426590,1985/04/08,35,佐賀県,A
